sep=,
unoccupiedPromotionLineFieldsWeight=50 pawnWeight=50 kingWeight=50 safePawnWeight=5 safeKingWeight=5 aggregatedDistanceOfPawnToPromotionLineWeight=0 defenderPieceWeight=5 attackPawnWeight=5 centerPawnWeight=5 centerKingWeight=5 mainDiagonalPawnWeight=5 mainDiagonalKingWeight=5 doubleDiagonalPawnWeight=5 doubleDiagonalKingWeight=5 pruningWindow=20 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,1709010,35772,176885,11,0,20,20,0,0,[0 -10 0 -5 5 -5 5 -10 5 -10 ],1961
Black,11x22 2,2540696,48838,194675,11,0,20,19,0,0,[-5 -15 -5 -15 -5 -15 0 -10 0 -10 ],1983
Black,22x31 2,1827203,45020,188498,11,2,19,19,0,0,[45 25 5 -10 5 -5 5 -10 5 -10 ],1971
Black,7-11 2,2586899,47636,202182,10,0,18,18,0,0,[0 -10 5 -5 5 -10 5 -10 0 ],1982
Black,16-21 2,1986369,40163,184097,9,0,18,18,0,0,[0 -10 0 -5 0 -10 0 -15 ],1978
Black,11x22 2,1854565,43677,170370,10,0,18,17,0,0,[-5 -15 -5 -15 -5 -15 0 -10 0 ],1978
Black,20-24 2,1765854,47506,178645,11,3,17,17,0,0,[0 -10 10 -10 0 -10 5 -15 0 -15 ],1977
Black,12-17 2,1763790,41444,188587,11,3,17,17,0,0,[-5 -25 -5 -15 0 -20 -5 -15 0 -15 ],1978
Black,8-12 2,1594992,40365,185513,12,2,17,17,0,0,[-15 -35 -15 -20 -5 -15 0 -15 0 -10 -5 ],1982
Black,15x24 2,1499549,40181,168737,10,0,17,16,0,0,[-15 -20 -5 -15 0 -15 0 -15 -5 ],1979
Black,18-23 2,2164606,35825,178345,11,4,16,16,0,0,[0 -10 10 -10 0 -10 0 -20 0 -15 ],1979
Black,10-15 2,1537061,34016,154557,10,3,16,16,0,0,[10 -5 15 -5 5 -15 0 -15 0 ],1983
Black,12-18 2,1614467,39249,182122,11,1,16,16,0,0,[0 -10 5 -15 0 -15 0 -15 -5 -15 ],1980
Black,15-20 2,1465253,37769,164771,10,0,16,16,0,0,[-5 -15 0 -10 0 -15 0 -15 0 ],1980
Black,17x26 2,1228551,33718,166572,12,2,16,16,0,0,[45 25 5 -10 -5 -15 0 -10 0 -10 0 ],1981
Black,20-25 2,1304309,35732,174511,10,0,15,15,0,0,[0 -10 -5 -15 0 -10 0 -10 0 ],1982
Black,23-29 2,1286578,33886,178934,10,2,15,15,0,0,[5 -15 0 -5 5 -5 10 -10 5 ],1976
Black,18-23 2,1783368,41292,184736,11,4,15,15,0,0,[10 0 5 0 5 -15 5 -15 5 -10 ],1980
Black,24-30 2,1500885,44384,197158,11,2,15,15,0,0,[10 0 15 -5 10 0 10 -10 5 0 ],1982
Black,30x39 2,1358899,42919,172517,14,8,15,14,0,0,[10 -10 10 -10 -30 -50 -30 -50 -30 -20 -10 -25 -25 ],1985
Black,19x30 2,1421432,44597,181104,12,6,14,13,0,0,[10 -10 -30 -50 -30 -50 -30 -20 -10 -25 -25 ],1978
Black,23-29 2,1410821,44259,179347,10,3,13,12,0,0,[-45 -55 -35 -55 -35 -20 -10 -25 -25 ],1985
Black,29x20 2,1383553,44343,185562,9,0,13,12,0,0,[-15 -20 -15 -15 -10 -20 -10 -20 ],1978
Black,13-18 2,1291854,44020,187492,9,0,12,12,0,0,[-10 -15 -5 -20 -10 -20 -5 -15 ],1982
