sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,10272564,287383,422097,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1964
White,32-27 1,17341644,428385,447727,15,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1947
White,37x28 1,4787503,287938,289861,13,0,19,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1976
White,28-23 1,21135408,452084,325865,14,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1976
White,34x23 1,8876452,395093,364400,15,2,18,19,0,0,[0 -10 0 0 0 0 0 0 0 0 0 0 0 0 ],1975
White,33x22x11 1,13969932,486531,377550,15,2,17,18,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 ],1976
White,35-30 1,13941351,483882,374629,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1977
White,30-25 1,17075363,494544,379222,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1978
White,36-31 1,18307994,545447,332046,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1970
White,31-27 1,19827327,560523,379784,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1979
White,38-32 1,15561170,462760,396663,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1973
White,32-28 1,8726397,395145,384592,12,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 ],1976
White,42-37 1,9471650,388556,317944,11,4,16,16,0,0,[0 0 0 -10 0 -10 0 0 0 0 ],1977
White,37-31 1,8227168,339777,357700,12,2,16,16,0,0,[0 0 0 -10 0 0 0 0 0 0 0 ],1980
White,39-34 1,3833479,282601,304597,12,4,16,16,0,0,[0 0 0 -10 -20 -25 -25 -25 -15 -5 0 ],1978
White,27x16 1,4222311,311785,374634,14,4,16,16,0,0,[25 25 25 15 5 0 10 20 25 25 25 25 25 ],1980
White,26x17x6 1,6162602,291977,371641,16,6,16,15,0,0,[75 75 85 75 85 95 100 100 100 90 100 100 100 100 100 ],1972
White,6x17 1,7461727,305695,397750,14,4,16,13,0,0,[100 90 100 100 100 100 100 90 100 100 100 100 100 ],1978
White,16x27 1,6444579,466278,450761,14,2,15,12,0,0,[100 100 100 100 100 90 100 100 100 100 100 100 100 ],1978
White,27-21 1,8464546,550756,408398,13,0,15,11,0,0,[100 100 100 100 100 100 100 100 100 100 100 100 ],1978
White,21x12x23 1,17350516,753819,401600,15,5,15,11,0,0,[150 150 150 150 160 170 180 190 200 200 200 200 200 200 ],1975
White,23x12 1,9052888,570796,284122,17,12,15,9,0,0,[175 175 175 175 185 195 205 215 225 235 245 255 265 275 285 295 ],1977
White,12-7 1,7832407,589866,261822,15,12,15,8,0,0,[175 175 185 195 205 215 225 235 245 255 265 275 285 295 ],1986
White,7-2 3,9548201,595603,430706,12,4,15,8,0,0,[300 300 300 300 310 320 325 325 335 345 350 ],1985
White,2x30 3,21096645,927238,419599,17,8,15,8,1,0,[325 325 335 325 335 345 355 350 360 370 375 375 375 375 385 385 ],1984
White,30x8 3,25342790,767469,417220,18,11,15,7,1,0,[350 350 360 350 360 350 360 370 375 375 375 375 385 375 385 395 405 ],1987
White,25x14x23x12 1,168254518,758950,496152,20,15,15,6,1,0,[425 425 425 425 435 445 455 465 475 485 495 505 515 525 535 545 555 565 575 ],1986
White,8-2 3,96405879,737672,493930,18,15,15,3,1,0,[425 425 435 445 455 465 475 485 495 505 515 525 535 545 555 565 575 ],1985
White,2-7 3,147011135,684263,500836,17,14,15,3,1,0,[425 425 435 445 455 465 475 485 495 505 515 525 535 545 555 565 ],1985
White,7-1 3,31701500,783296,398651,15,12,15,3,1,0,[425 425 435 445 455 465 475 485 495 505 515 525 535 545 ],1976
White,1-6 3,20388230,730320,485944,14,11,15,3,1,0,[425 425 435 445 455 465 475 485 495 505 515 525 535 ],1976
White,6-1 3,14128843,658934,401780,15,12,15,3,1,0,[425 425 435 445 455 465 475 485 495 505 515 525 535 545 ],1977
White,28x19 1,23085637,707272,353256,18,12,15,3,1,0,[450 450 450 450 460 470 480 490 500 500 510 520 530 540 550 560 570 ],1984
White,19x30 1,32597213,618394,322247,21,12,15,2,1,0,[475 475 475 475 485 495 500 500 510 520 530 540 550 560 570 580 590 600 600 600 ],1758
