sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,4728566,249003,472537,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1978
Black,21x32 2,6181165,334030,326838,15,2,20,20,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 ],1912
Black,11-16 2,4686403,287521,291748,13,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1931
Black,17x26 2,5747214,263876,364236,14,0,19,19,0,0,[25 25 25 25 25 25 25 25 25 25 25 25 25 ],1944
Black,18x27 2,5754754,232030,294933,13,5,18,19,0,0,[50 50 50 50 50 40 50 40 50 50 50 40 ],1936
Black,6-11 2,828980,64355,88991,10,0,17,19,0,0,[50 50 50 50 50 50 50 50 50 ],339
