sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=50 kingWeight=150 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 lonerPawnWeight=0 lonerKingWeight=0 holeWeight=0 pruningWindow=11 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,4675164,74139,333819,11,0,20,20,0,0,[8 0 5 0 6 -1 5 -2 5 -2 ],1976
White,32-28 1,5638454,84724,352992,11,0,20,20,0,0,[15 7 13 5 12 5 11 4 11 3 ],1994
White,34-29 1,6577443,96333,358777,11,0,20,20,0,0,[15 7 8 7 10 4 11 3 10 2 ],1967
White,29-23 1,6691844,86516,374937,12,1,20,20,0,0,[17 7 18 8 14 6 14 6 9 3 9 ],1978
White,33x24x13 1,4024661,95612,364541,12,4,19,20,0,0,[59 48 37 26 15 6 9 2 9 3 9 ],1974
White,37-32 1,4677411,99741,348698,11,0,18,18,0,0,[14 6 14 6 9 4 11 7 14 9 ],1971
White,39x28 1,5877566,83670,357864,10,0,17,18,0,0,[12 4 9 4 9 0 10 5 9 ],1975
White,38-33 1,8016498,117949,384764,10,0,17,17,0,0,[44 36 37 32 39 34 40 33 39 ],1979
White,42-37 1,5818928,98321,333138,9,0,17,17,0,0,[48 40 41 34 41 36 39 31 ],1979
White,43-38 1,5415237,117981,379067,10,0,17,17,0,0,[48 40 41 32 39 34 38 34 42 ],1977
White,37-31 1,7496540,148467,420841,10,0,17,17,0,0,[78 70 71 62 69 62 67 62 68 ],1979
White,31-27 1,6893168,134871,403403,11,2,17,17,0,0,[74 66 77 69 70 63 70 59 66 57 ],1979
