sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,10423589,298539,444661,14,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1976
White,32-27 1,17450490,438687,457882,15,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 ],1952
White,37x28 1,9077997,444106,495939,14,0,19,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1960
White,28-23 1,25360306,591313,513870,14,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],1976
White,34x23 1,13988931,572227,491224,15,2,18,19,0,0,[0 -10 0 0 0 0 0 0 0 0 0 0 0 0 ],2109
White,33x22x11 1,21807940,701382,488917,15,2,17,18,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 ],2051
White,35-30 1,21658477,694750,485775,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2037
White,30-25 1,22626791,694725,489155,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2028
White,36-31 1,53051788,791691,493766,14,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 ],2033
White,31-27 1,25916417,704030,476017,13,0,16,16,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],2082
