sep=,
unoccupiedPromotionLineFieldsWeight=1 pawnWeight=1 kingWeight=1 safePawnWeight=1 safeKingWeight=1 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=1 attackPawnWeight=1 centerPawnWeight=1 centerKingWeight=1 mainDiagonalPawnWeight=1 mainDiagonalKingWeight=1 doubleDiagonalPawnWeight=1 doubleDiagonalKingWeight=1 lonerPawnWeight=1 lonerKingWeight=1 holeWeight=1 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,33-29 1,5942413,249868,440947,12,0,20,20,0,0,[0 0 -2 1 0 2 0 1 -1 1 0 ],1997
White,39-33 1,5332916,290579,456489,12,0,20,20,0,0,[0 3 -1 4 1 4 4 6 4 3 1 ],1998
White,29-24 1,7913888,363174,431374,12,0,20,20,0,0,[2 10 7 9 9 11 10 12 8 7 4 ],1999
White,32x23 1,5985824,331493,424530,13,0,17,20,0,0,[4 9 9 11 10 12 8 7 4 5 2 3 ],2000
White,35-30 1,6178503,334522,429714,11,0,16,19,0,0,[9 11 10 12 8 7 4 5 2 3 ],1998
White,40-35 1,6639845,324785,448116,11,0,15,19,0,0,[10 12 8 7 4 4 2 3 3 4 ],1999
White,38x29x40 1,11915266,415665,484912,12,0,15,19,0,0,[4 3 0 4 1 0 1 1 1 3 3 ],1999
White,31-27 1,13218764,465472,460439,11,0,15,17,0,0,[4 5 1 0 1 1 1 3 3 2 ],1999
White,37x28 1,9949852,660200,523600,12,0,14,17,0,0,[1 0 1 1 1 3 3 2 3 2 3 ],1999
White,35-30 1,13923539,668810,528563,10,0,14,16,0,0,[2 1 1 3 4 3 3 4 4 ],2000
White,28-22 1,52750985,1038253,501908,13,0,14,16,0,0,[3 7 8 9 9 8 9 12 12 13 13 18 ],1999
White,36-31 1,20529925,803922,492624,12,0,13,16,0,0,[7 9 9 8 9 12 12 13 13 18 18 ],1999
White,42-38 1,9795773,659220,511773,10,0,12,16,0,0,[9 8 9 12 12 13 13 18 18 ],1998
White,47-42 1,7932137,675571,583392,10,0,12,16,0,0,[8 11 11 13 13 18 18 22 23 ],1999
White,38-33 1,7363602,566431,450337,12,0,11,16,0,1,[11 13 13 18 18 22 23 21 22 24 25 ],2119
White,44-39 1,7436103,510255,478382,10,0,8,16,0,1,[13 17 18 22 23 21 22 24 25 ],2157
White,50-44 1,9404846,618840,462933,10,0,6,16,0,1,[18 22 23 21 22 24 25 24 22 ],2114
White,43-39 1,16471755,1232488,456565,10,0,5,16,0,1,[23 20 21 24 25 24 24 21 21 ],1998
White,49-44 1,24915314,1070934,554313,10,0,4,16,0,1,[22 24 25 22 22 21 21 19 20 ],1999
