sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=25 kingWeight=75 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 lonerPawnWeight=0 lonerKingWeight=0 holeWeight=0 
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
White,31-26 1,2421466,0,549000,10,0,20,20,0,0,[0 5 0 6 -1 5 -2 5 -2 ],1998
White,34-30 1,2361238,0,532004,10,0,20,20,0,0,[7 13 5 12 5 11 5 10 3 ],1999
White,30-25 1,2416038,0,581048,9,0,20,20,0,0,[10 15 12 15 10 15 8 15 ],2000
White,33-29 1,2506415,0,625708,10,0,20,20,0,0,[21 24 19 24 15 24 16 22 15 ],2000
White,39-33 1,2562096,0,528191,10,0,20,20,0,0,[50 53 48 51 45 49 41 48 41 ],1999
White,32-28 1,2565000,0,496512,10,0,20,20,0,0,[44 49 44 50 39 46 41 45 39 ],2000
White,38-32 1,2574975,0,511431,10,0,20,20,0,0,[48 53 40 46 41 49 41 47 39 ],1999
White,37-31 1,2401274,0,551424,11,0,20,20,0,0,[48 54 42 49 41 50 42 49 38 47 ],2000
White,43-38 1,2400429,0,617016,11,0,20,20,0,0,[72 91 73 77 67 76 70 76 64 73 ],2000
White,28x19 1,2442276,0,606031,13,0,20,20,0,0,[46 70 65 74 69 75 66 76 63 69 61 68 ],2000
White,40x29 1,2236681,0,527486,11,0,18,19,0,0,[65 74 69 75 66 76 63 69 61 68 ],2000
White,32-28 1,2414072,0,593164,10,0,18,18,0,0,[69 76 71 80 71 82 72 82 72 ],2000
White,29-24 1,2542181,0,610234,11,0,18,18,0,0,[101 110 97 100 97 100 95 98 93 97 ],1999
White,33x24 1,2757164,0,506708,13,0,17,18,0,0,[74 100 95 100 95 98 93 97 91 95 90 92 ],2000
White,38x29 1,2780912,0,511794,11,0,16,17,0,0,[95 100 95 98 93 97 91 95 90 92 ],2000
White,42-37 1,2587065,0,553882,9,0,16,16,0,0,[97 100 93 101 91 95 91 93 ],2000
White,44-40 1,2320278,0,628689,9,0,16,16,0,0,[95 102 92 102 91 97 89 93 ],2000
White,35-30 1,2402596,0,659103,10,0,16,16,0,0,[94 106 93 103 91 94 87 94 75 ],2000
White,40-35 1,2637398,0,540526,10,0,16,16,0,0,[95 103 91 94 87 97 75 83 67 ],2000
White,24x15 1,2396422,0,652156,11,0,16,16,0,0,[127 134 104 125 102 105 102 101 92 97 ],2001
White,37x28 1,2524419,0,685184,13,0,16,15,0,0,[104 128 102 105 102 101 92 97 89 94 84 90 ],2000
White,30x19 1,2461936,0,669005,11,0,14,14,0,0,[102 105 102 101 92 97 89 94 84 90 ],2000
White,41-37 1,2560209,0,640101,10,0,13,13,0,0,[102 103 92 97 89 94 84 90 82 ],2001
White,31-27 1,2824942,0,577196,10,0,13,13,0,0,[102 103 94 101 89 97 84 92 76 ],2000
White,37-31 1,2589384,0,635075,9,0,13,13,0,0,[100 105 89 97 85 93 76 88 ],2039
White,45-40 1,2655804,0,579497,10,0,13,13,0,0,[93 110 87 92 69 88 67 68 63 ],2001
White,26-21 1,2603059,0,555277,10,0,13,13,0,0,[87 92 80 91 85 88 63 65 58 ],2001
White,40-34 1,2454474,0,618859,10,0,13,13,0,0,[80 91 86 89 68 85 67 83 60 ],2024
White,25x14 1,2380395,0,707157,11,0,13,13,0,0,[83 91 84 92 85 94 86 93 87 92 ],2000
White,34-30 1,2367466,0,701901,9,0,12,12,0,0,[84 92 85 94 86 93 87 92 ],2000
White,31-26 1,2563994,0,644824,11,0,12,12,0,0,[75 94 89 93 73 92 71 69 70 70 ],2017
White,36x27 1,3045014,0,630435,10,0,11,12,0,0,[89 93 73 92 71 69 70 70 53 ],2000
White,47-41 1,3005892,0,600615,11,0,11,11,0,0,[73 92 71 69 72 70 53 51 41 42 ],2038
White,26x37 1,2751369,0,651180,11,0,10,11,0,0,[38 42 39 43 40 42 41 42 40 40 ],2000
White,15-10 1,2775788,0,657056,9,0,9,10,0,0,[39 43 40 42 41 42 40 40 ],2021
White,41-36 1,2794929,0,680429,10,0,8,10,0,0,[40 42 41 40 37 40 32 38 31 ],2001
White,30-25 1,2735693,0,661702,10,0,8,10,0,0,[73 72 68 75 71 69 48 44 40 ],2039
White,25-20 1,2549806,0,643130,10,0,8,10,0,0,[74 82 78 76 55 79 53 55 49 ],2029
White,35x24 1,2657377,0,755395,13,0,8,10,0,0,[73 74 55 79 53 55 49 41 22 21 16 18 ],2001
White,37-31 1,2619772,0,737668,11,0,7,9,0,0,[55 79 53 55 49 41 22 21 16 18 ],2000
White,31x22 1,3226767,0,931093,12,0,6,9,0,0,[53 45 24 20 18 15 12 18 11 6 -9 ],2000
White,48-42 1,3215314,0,927383,10,0,5,8,0,0,[24 20 18 15 12 18 11 6 -9 ],2001
