sep=,
pieceWeight=25 crownWeight=125 pruningWindow=10 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,16-21 2,4356475,224227,409374,13,0,20,20,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1783
Black,21x32 2,8417837,393523,412597,15,2,20,20,0,0,[25 15 5 0 0 0 0 0 0 0 0 0 0 0 ],1885
Black,11-16 2,4897459,300634,311363,13,0,19,19,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 ],1831
Black,17x26 2,3967945,205752,290025,13,0,19,19,0,0,[25 25 25 25 25 25 25 25 25 25 25 25 ],1815
