sep=,
unoccupiedPromotionLineFieldsWeight=25 pawnWeight=25 kingWeight=75 safePawnWeight=5 safeKingWeight=10 aggregatedDistanceOfPawnToPromotionLineWeight=1 defenderPieceWeight=2 attackPawnWeight=3 centerPawnWeight=4 centerKingWeight=10 mainDiagonalPawnWeight=2 mainDiagonalKingWeight=15 doubleDiagonalPawnWeight=2 doubleDiagonalKingWeight=12 lonerPawnWeight=0 lonerKingWeight=0 holeWeight=0 pruningWindow=20 bounds=20000
PlayerSide,Move,TraversedNodes,FetchedNodes,SubtreesPruned,SearchDepth,AspirationFails,#WP,#BP,#WK,#BK,EvaluationValues
Black,17-21 2,5691139,241452,437908,11,0,20,20,0,0,[0 -5 0 -6 1 -5 2 -5 3 -5 ],1991
Black,11x22 2,9301089,332973,427463,11,0,20,19,0,0,[-2 -7 1 -7 1 -5 3 -5 2 -5 ],1998
Black,19-24 2,9621390,326484,463437,11,1,19,19,0,0,[5 0 13 -5 10 -10 -1 -6 0 -5 ],1999
Black,14x23 2,6101826,370889,431604,12,1,19,18,0,0,[0 -5 10 -10 -5 -10 -2 -5 0 -6 0 ],1999
Black,20-25 2,7089165,358074,423673,11,0,18,18,0,0,[10 5 12 0 8 -2 4 -7 0 -5 ],1999
Black,23x32 2,7557300,431027,416965,13,2,18,18,0,0,[29 9 24 4 9 -7 -2 -5 2 -3 2 -3 ],2000
Black,12x21 2,9416257,460620,431481,11,0,17,16,0,0,[3 -2 9 -7 -2 -5 2 -3 2 -3 ],2000
Black,25x34 2,9285323,475132,442321,11,2,16,16,0,0,[17 -3 -2 -5 15 -2 2 1 3 1 ],1999
Black,18-23 2,11769001,502026,452361,9,1,15,15,0,0,[-2 -4 16 -2 2 1 7 1 ],1999
Black,13x24x33 2,13113382,699547,435030,11,1,15,14,0,0,[24 4 2 1 2 1 2 1 3 -1 ],2033
Black,15-20 2,14614549,701267,407251,9,0,13,13,0,0,[2 1 2 1 2 1 3 0 ],2002
Black,8-12 2,9444442,562065,419154,9,0,13,13,0,0,[-3 -4 0 -1 1 -1 1 0 ],1999
Black,21-26 2,10230395,542931,418716,9,0,13,13,0,0,[6 -1 7 -3 5 -3 -1 -1 ],1999
Black,26x37 2,7919201,499353,445860,11,0,13,13,0,0,[21 2 10 2 4 -1 0 -2 2 -3 ],2000
Black,9-13 2,8011433,552158,437123,9,0,12,12,0,0,[10 2 4 -1 0 -2 2 -3 ],1999
Black,10-15 2,6948011,480692,447103,9,0,12,12,0,0,[1 -4 -2 -4 4 -3 3 1 ],2000
Black,7-11 2,9216099,620910,434753,9,0,12,12,0,0,[0 -2 -3 -4 2 1 2 -1 ],1999
Black,12-17 2,6677684,595651,438819,9,0,12,12,0,0,[-3 -4 -5 -4 0 -1 0 -3 ],1999
Black,16-21 2,5919745,516471,457693,9,0,12,12,0,0,[-5 -4 -1 -6 2 -3 3 -9 ],1999
Black,13-18 2,6358321,556072,462437,10,0,12,12,0,0,[-6 -11 -8 -10 -4 -9 5 -2 5 ],2000
Black,17x8 2,8630344,627529,468949,12,1,12,11,0,0,[-9 -28 -8 -9 3 -2 5 -2 1 -2 1 ],2000
Black,11x22 2,8673837,632038,471092,10,0,11,10,0,0,[-4 -9 3 -2 5 -2 1 -2 1 ],1999
Black,8-13 2,8250687,684375,455305,9,0,10,10,0,0,[12 4 5 0 5 -2 2 -5 ],1998
Black,13-18 2,5974345,605957,446291,10,0,10,10,0,0,[3 -2 3 -2 2 -7 6 0 0 ],1998
Black,20-24 2,5301494,584594,454949,10,0,10,10,0,0,[3 -2 11 -5 3 -5 0 3 4 ],1998
Black,15x24 2,6360629,619463,481079,10,0,10,9,0,0,[-5 -10 3 -5 0 3 4 -3 -1 ],1998
Black,22x31 2,10299533,852682,492570,12,0,9,9,0,0,[14 -5 0 3 4 -2 -1 2 1 -4 -1 ],2001
Black,18-23 2,10323833,853968,493778,10,0,8,8,0,0,[0 3 4 -2 -1 2 1 -4 -1 ],1999
Black,23-29 2,9281280,767918,515078,10,0,8,8,0,0,[4 -3 8 2 0 -6 -2 -4 2 ],2000
Black,24-30 2,7625585,723984,473590,10,0,8,8,0,0,[-6 -5 0 -6 -8 -4 -3 0 -1 ],2000
Black,29-34 2,5679895,643777,476151,10,0,8,8,0,0,[0 2 0 -5 -6 0 1 3 1 ],2000
Black,30-35 2,8378367,630569,543536,10,0,8,8,0,0,[0 1 0 4 7 3 1 -13 -18 ],1998
Black,2-8 2,8297356,553251,540034,10,0,8,8,0,0,[4 -4 -5 3 1 -13 -19 -19 -15 ],1999
Black,8-13 2,6212681,508463,534426,10,0,8,8,0,0,[-28 -31 -30 -24 -21 -24 -21 -15 -20 ],2000
Black,34-39 2,7059349,457913,543549,10,1,8,8,0,0,[-30 -31 -36 -35 -15 -33 -21 -15 -10 ],2000
Black,13-19 2,5181013,440231,499455,11,0,8,8,0,0,[-30 -22 -21 -24 -30 -33 -17 -11 -2 -13 ],1999
Black,1x12 2,7425379,538514,587526,12,0,8,8,0,0,[-39 -42 -37 -33 -19 -13 -2 -3 0 1 6 ],2000
Black,39-43 2,12466445,677178,543368,13,0,7,8,0,0,[-5 -3 2 -1 -2 -3 10 11 15 12 16 13 ],1998
Black,19-23 2,11113435,651212,578532,12,0,7,7,0,0,[2 -1 -2 -3 2 -1 15 12 17 13 20 ],2000
Black,6-11 2,10503416,595720,579068,13,1,7,7,0,0,[4 -3 2 -12 -3 -8 1 -4 16 16 24 22 ],1999
Black,11-17 2,10780165,549813,599060,13,1,7,7,0,0,[0 -5 15 17 21 19 21 16 24 24 28 28 ],1999
Black,12-18 2,15492568,603190,584751,12,0,7,7,0,0,[-3 -8 1 -4 -5 -6 2 -4 -2 -2 -1 ],1998
Black,18-22 2,12050037,566984,571290,11,0,7,7,0,0,[-3 -8 -5 -6 2 -4 -2 -2 0 -5 ],1998
Black,23-28 2,10110039,514081,592180,12,0,7,7,0,0,[-5 -8 -3 -10 -7 -2 -1 -5 -1 -7 3 ],2000
Black,28-32 2,7834723,501191,578043,11,0,7,7,0,0,[-3 -10 -7 -2 -1 -5 -1 -7 3 -4 ],1999
Black,32-38 2,7578906,480692,527123,11,1,7,7,0,0,[-10 -11 -7 -4 10 -7 -1 -4 16 13 ],1999
