603037,1773,601105,151873,11
657377,3631,653716,173576,11
672275,11087,661162,177929,12
690535,8969,681458,144075,13
705618,5979,699408,126046,12
704294,5977,698088,125726,10
752089,19390,732643,156529,11
754714,35176,719456,150843,11
722267,14062,708082,154275,10
728800,10911,717866,155993,11
751687,30955,720707,177052,11
740176,35389,704674,180206,11
743171,30627,712363,226735,11
770870,35224,735635,171228,12
740700,12393,718593,174330,13
821615,101002,720336,260628,11
779355,143279,635745,237468,12
757057,27956,729059,226810,13
825752,92638,733007,257673,12
834901,49868,785003,258958,12
916376,130877,782947,132807,11
947687,143196,804474,167460,11
912793,120766,791951,289451,12
874188,111919,762165,167428,12
907958,115210,792483,161065,12
895349,23162,871453,186440,12
1007841,118715,887292,237757,10
914697,37587,876701,222247,10
862662,89922,772448,201269,11
1080125,129958,948464,266099,10
1053907,141270,905173,181678,10
909084,15629,893279,246931,12
856321,7034,847173,269674,11
905032,44859,859023,252261,12
1086747,141871,943941,177480,10
990141,35465,948874,195774,12
929458,113317,815540,218295,11
1409261,285484,1123412,179447,12
1043824,53644,990171,316024,13
1046013,62098,983904,330660,12
961989,41971,920007,166942,12
982599,78361,904222,207894,12
938629,84150,854468,265437,13
294,0,294,0,100
