585313;1600;583515;137815;11
654091;2829;651197;154183;11
623113;2457;620646;134725;12
665758;2630;663110;151206;10
699888;5189;694574;157294;11
704540;9021;695049;134136;12
679531;8661;670403;129618;10
702346;8576;693460;156455;10
676245;6263;669746;146458;11
703424;11701;691419;134448;10
699092;3395;695679;134496;10
680546;6674;673862;136410;11
710158;10713;699435;149254;10
702063;6576;695477;142496;10
712866;4867;707973;120672;11
718513;15451;702989;148357;12
748716;22104;726523;141519;10
664715;11817;652878;98338;10
783997;10625;773363;163570;10
755264;13871;741386;177540;9
822781;11663;811109;131253;10
705675;9082;696584;219339;10
799450;6190;793249;145784;11
828310;9957;818271;166255;10
866171;27183;838978;164665;11
837798;37214;800575;169710;10
729973;13633;716334;119059;10
967765;92674;875081;217259;11
1110677;253062;857604;158576;10
1002801;179961;822830;335189;11
976295;63775;912511;134885;10
995728;117681;878039;189841;10
903874;65937;837925;309556;11
928309;42773;885521;258787;12
1112051;366623;743461;144465;11
917313;31767;882645;296397;11
956242;121712;834359;286186;12
955123;107521;847332;270624;10
1109428;76567;1029295;205944;12
1075449;50513;1020419;303852;13
1161380;91614;1069555;266561;16
294;0;294;0;100
