627927,1998,625745,148792,11
626179,2643,623446,144578,11
649581,2471,647099,139034,12
716191,2916,713221,160863,10
732662,4008,728262,164856,11
752646,9754,742422,141328,12
785129,9989,774655,145904,10
756899,10068,746572,166762,10
724699,7465,717020,154196,11
771442,14635,756306,147839,10
745068,3778,741272,142380,10
744621,7925,736686,152660,11
648541,8339,640192,144276,10
766346,6890,759448,153132,10
788017,5213,782779,140951,11
795674,19454,776146,163633,12
794460,24714,769657,148841,10
819313,14122,805171,116152,10
733245,8503,724735,164638,10
790386,14262,776116,183754,9
852884,11635,841240,136247,10
816597,11109,805479,238731,10
838343,6432,831847,146812,11
781238,11444,769745,159518,10
820416,24482,795924,136048,11
861295,33954,827328,196710,10
884858,15071,869779,147652,10
944965,48191,896764,201666,11
1127709,250602,877096,152153,10
915403,173559,741833,289967,11
1037215,65760,971446,142956,10
957935,30898,927028,193573,10
930971,64544,866417,320909,11
944174,43689,900470,261706,12
1262286,378852,881601,209525,11
856121,29384,824038,263870,11
1062225,17486,1043988,168542,12
1058829,18575,1039503,160236,10
1144934,73791,1067597,208238,12
1160474,74607,1080301,300140,13
1132444,57754,1072162,318908,15
294,0,294,0,100
