632538;2695;629656;141181;11
709430;1885;707530;169177;11
787492;93283;694200;146728;11
710558;3144;707376;166626;10
755270;3091;752124;162927;12
759599;7855;751096;144452;12
731354;7617;723091;139613;10
746489;8580;737552;154583;10
729087;5444;723576;176185;11
708083;10147;697586;126530;10
655041;3265;651754;122811;10
794288;84565;709714;132688;10
735148;15114;720025;146317;10
724969;4779;720180;144852;10
773557;29357;744175;127712;10
675813;16347;659375;137565;12
748472;22207;724873;142571;10
829257;48355;780882;109614;10
819631;75008;744615;165904;10
721369;15384;705976;175596;10
829714;15626;814078;132980;11
824622;20741;803874;256508;9
851370;26239;825114;190978;10
862553;111392;751151;138054;10
929408;95042;834357;196780;10
1147961;248456;899428;258304;11
1089730;179020;910698;194357;10
1166111;192527;973575;166655;10
1085082;155123;929943;309921;10
983420;61372;922031;295511;11
1155275;254626;900640;251186;11
1129791;90053;1039688;254268;11
1112589;92151;1020425;220507;11
1248419;195700;1052556;203291;12
1430459;336323;1086148;258388;13
1144764;43521;1100235;341785;13
196;0;196;0;100
