583900;2778;580935;128794;11
663262;7349;655898;157449;12
756937;109956;646970;140010;11
730101;51563;678500;157648;10
671463;4314;667090;140985;12
724877;7371;717020;140899;12
734384;7371;726529;142059;10
761440;32172;728813;154074;10
792940;69357;723507;188173;11
823347;105622;717325;160501;10
769699;91263;678427;162956;10
833644;98631;735004;137088;10
739489;15415;724065;145676;10
731496;6657;724830;141582;10
765700;8638;757053;128721;10
857658;96954;760652;170760;12
815496;46752;767561;155720;10
855235;80150;775076;118157;10
817770;65840;751922;186315;9
868697;95441;773247;166066;10
824481;45459;779013;201885;11
850938;49441;801487;153889;10
779547;11206;767966;200688;11
835784;48260;787514;180300;11
863040;45905;817126;199942;11
834441;38944;795476;255674;11
798852;27548;771294;204902;11
764902;48688;716205;126803;10
848625;14441;833951;276328;11
943186;39925;902536;257221;11
977968;81666;894786;219002;10
1014107;126900;887191;232911;10
1162670;147001;1014978;199794;12
1058196;170229;887890;383908;11
1237662;184704;1052858;154537;10
1104950;72877;1030081;295316;12
837590;14995;822097;216250;14
1009585;19711;988528;238002;12
784;0;784;0;100
