640031;29178;610682;147211;11
799327;111100;688214;183007;11
736306;66622;669673;135633;11
765361;42307;723018;165463;10
745011;5033;739903;169224;13
835945;105355;730522;171790;12
850612;106739;743446;170723;10
798985;68021;730206;162191;9
751095;36638;714450;153239;9
843180;92261;750904;137403;10
784176;48972;735004;154890;10
782453;73458;708987;149185;9
750788;36181;714533;136436;10
818352;60935;757376;169452;9
788378;25374;762893;186105;11
788852;43216;745556;197397;9
877699;106950;770740;191360;11
870470;85525;784925;223530;10
844723;54279;790424;173733;11
805135;42618;762509;177929;10
910041;164635;745396;163086;11
857815;13311;843752;156368;12
853772;13244;839775;155642;10
938596;110074;828514;166456;10
863892;28995;834888;154716;10
843119;47237;795872;224503;11
850887;28670;822150;204376;11
899753;56696;843050;177296;10
1038823;146645;892168;131863;10
914021;90855;823157;268070;10
975089;52157;922918;116374;10
1012414;108788;903609;168167;10
1022266;133047;889191;234333;9
932769;72115;860645;314196;10
1034972;123705;910839;242701;11
951939;104659;847136;305784;11
1027141;79924;947094;219189;12
1105422;55147;1050222;181366;11
1226632;144996;1059174;280196;15
1104515;84399;1013252;288125;14
1079404;76446;996099;283954;12
917652;14338;902725;246961;15
901849;36058;862610;266654;16
196;0;196;0;100
